"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"","155 - 160K KM","Automatic","Jawa Timur","Dealer","2004 Toyota Land Cruiser Cygnus 4.7 SUV","𝗗𝗜𝗝𝗨𝗔𝗟 𝗠𝗢𝗕𝗜𝗟 𝗥𝗘𝗔𝗗𝗬‼️ Anda berminat? ☎ wa.me/**** (Intan Berrymint) Land Cruiser VX Cygnus ...",""
"Toyota Alphard","100 - 105K KM","Automatic","Jawa Barat","Dealer","2013 Toyota Alphard 2.4 GS MPV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 210.000.000"
"Honda CR-V","55 - 60K KM","Automatic","Jawa Timur","Dealer","2019 Honda CR-V 1.5 Turbo SUV","Kondiso sangat terawat Mobil siap pakai Nopol L Surabaya Warna favorit putih Bukan ...",""
"Toyota Alphard","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Alphard 2.5 G MPV - Km14.000 Nik White On Beig...","ALPHARD 2.5 G ATPM 2023 WHITE ON BEIGE Km.14.000 Antik!! , STNK Bulan 10 ( NIK.2023 ) - ...",""
"Lexus LX 570","50 - 55K KM","Automatic","Banten","Dealer","2017 Lexus LX 570 5.7 SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 1.360.000.000"
"Mercedes-Benz CLA200","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2023 Mercedes-Benz CLA200 1.3 AMG Line Coupe - Km6.000 Reg...","MERCEDES BENZ CLA200 SPORT AMG 2023/2024 FACELIFT BLACK ON BLACK Km.6.000 Antik!! , Stnk ...",""
"MINI Cooper","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2023 MINI Cooper 2.0 S 3 Door Hatchback - Panoramic Km.5.0...","MINI COOPER 2.0 S 3 DOORS LCi II 2023/2024 ROOFTOP GREY ON BLACK TOP BLACK Km. 5.000 ...",""
"Toyota Voxy","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Voxy 2.0 MPV","Harga Khusus Credit 4&5 Thn Warranty Mesin & Transmisi 1Thn Terima Tukar Tambah TOYOTA ...","Rp 288.000.000"
"Toyota Agya","5 - 10K KM","Automatic","Jawa Barat","Private","2024 Toyota Agya 1.2 G Hatchback - 1,2","Mobil siap pakai, km rendah di bawah 8.000, terawat babas banjir dan laka, harga cash nego",""
"BMW X1","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2022 BMW X1 1.5 sDrive18i M Sport SUV - Km16.000 Nik Black...","BMW X1 M-SPORT 2022 NEW PROFILE BLACK ON BLACK Km.16.000 Antik!!, Stnk Bulan 11 ( ...",""
"Daihatsu Ayla","90 - 95K KM","Manual","Sumatera Selatan","Private","2019 Daihatsu Ayla 1.0 X Hatchback","Di jual, tanpa perantara, mobil ayla X.MT tahun 2019 warna putih. Pemakaian pertama, ...",""
"Mazda Biante","90 - 95K KM","Automatic","Jawa Timur","Dealer","2015 Mazda Biante 2.0 SKYACTIV-G MPV - ISTIMEWA","𝗕𝗶𝘀𝗺𝗶𝗹𝗹𝗮𝗵, 𝗱𝗶𝗷𝘂𝗮𝗹‼️ 𝗠𝗔𝗭𝗗𝗔 𝗕𝗜𝗔𝗡𝗧𝗘 𝗦𝗞𝗬𝗔𝗖𝗧𝗜𝗩 𝟮.𝟬𝗟 𝗔𝗧 𝟮𝟬𝟭𝟱 ‼️Harga : 145 JT khusus harga ...",""
"Toyota Corolla Altis","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Corolla Altis 1.8 Hybrid Sedan - Corolla V","Toyota Corolla Altis 1.8 V Hybrid CVT 2022 Balck on Black | KM 60.XXX | Plat B Genap | ...","Rp 325.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2017 Lexus RX 200t 2.0 Luxury SUV - Km21.000 Nik Black On ...","LEXUS RX200T 2017 LUXURY BLACK ON BLACK Km.21.000 Antik!! , Stnk Bulan 05 ( NIK.2017 ) - ...",""
"Suzuki Ertiga","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2021 Suzuki Ertiga 1.5 Sport MPV - (kilometer 32rb)","Suzuki Ertiga 1.5 Sport AT 2021 Abu-abu Harga Cash : Rp 207.000.000.- Harga Credit : Rp ...","Rp 199.000.000"
"","20 - 25K KM","Automatic","Banten","Dealer","2023 Toyota Raize 1.0 GR Sport TSS (2 Tone) SUV - BYD M6 0...","Harga khusus OTR Kredit dan TDP Paket , Harga Tunai Beda Lagi ... . Harga Cash 340 Jt ...","Rp 310.000.000"
"Honda Brio","90 - 95K KM","Automatic","Banten","Dealer","2014 Honda Brio 1.2 E Hatchback","Harga khusus OTR Kredit dan TDP Paket , Harga Tunai Beda Lagi ... . Harga Cash 109 Jt ...","Rp 90.000.000"
"Toyota Yaris","80 - 85K KM","Automatic","Banten","Dealer","2013 Toyota Yaris 1.5 E Hatchback","Harga khusus OTR Kredit dan TDP Paket , Harga Tunai Beda Lagi ... . Harga Cash 128 Jt ...","Rp 108.000.000"
"","","","","","","",""
"","","","","","","",""
"","25 - 30K KM","Manual","DKI Jakarta","Dealer","2015 Toyota Dyna 4.0 110 FT Truck","Dijual Cepat Toyota Dyna FT 6 Roda Bak Tahun 2015 Harga Bisa Nego Bisa Kredit Fast ...","Rp 172.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Hyundai Palisade 2.2 Signature SUV - Km21.000 Nik Bla...","HYUNDAI PALISADE 2.2D SIGNATURE 2024 FACELIFT BLACK ON RED Km.21.000 , Stnk Bulan 02 ( ...",""
"","20 - 25K KM","Automatic","Banten","Broker","2023 Toyota Yaris Cross 1.5 S HV (2 Tone) w GR Parts Aero ...","Toyota Yaris Cross 1,5 S GR TSS Type Hybrid Electric Vehicle (HEV) Warna putih twotone ...","Rp 317.000.000"
"Honda CR-V","90 - 95K KM","Automatic","Jawa Timur","Sales Agent","2015 Honda CR-V 2.4 SUV - type Fender audio","Honda CR-V fender audio matic 2015 Kondisi siap pakai Warna Favorit Pajak hidup ✅ Mesin ...","Rp 212.000.000"
"Mitsubishi Xpander","30 - 35K KM","Automatic","Banten","Broker","2024 Mitsubishi Xpander 1.5 Ultimate MPV","Mitsubishi Xpander Ultimate 1,5 Transmisi automatic Warna hitam Odo 35.000 km (record) ...","Rp 242.000.000"
"Suzuki Ertiga","115 - 120K KM","Automatic","Jawa Barat","Dealer","2015 Suzuki Ertiga 1.4 GL MPV","SHOWROOM “AUTODEAL” JUAL BELI MOBIL SECOND BERKUALITAS NEW ERTIGA GL 2015 AT Km.115 • ...","Rp 123.000.000"
"Honda Brio","60 - 65K KM","Automatic","Jawa Timur","Private","2019 Honda Brio 1.2 Satya E Hatchback","Jual honda brio satya 1.2E matic, perawatan rutin. Surat surat lengkap dan siap pakai. ...","Rp 139.500.000"
"Toyota Vellfire","92000 KM","Automatic","Jawa Barat","Dealer","2015 Toyota Vellfire 2.5 ZG MPV","DP Mulai 50jutaan angs 11.5jt x 59 Vellfire 2.5 ZG CBU AT 2015 KM 92.000 Plat Bandung ...","Rp 488.000.000"
"Mitsubishi Outlander Sport","55 - 60K KM","Automatic","DKI Jakarta","Private","2017 Mitsubishi Outlander Sport 2.0 PX SUV","Outlander Sport PX (Tertinggi-Panoramic Roof-Auto Leveling Headlamp)-2017 Hitam Orisinil ...",""
"Suzuki Baleno","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2023 Suzuki Baleno 1.5 Hatchback","Suzuki Baleno Automatic 2023 Hitam Tangan Pertama Km 28rb Service record Pajak panjang ...","Rp 205.000.000"
"Nissan X-Trail","100 - 105K KM","Automatic","DKI Jakarta","Dealer","2014 Nissan X-Trail 2.5 SUV","Nissan X-trail T32 Xtrail 2.5 AT 2014 Hitam Mulus Terawat Low Km 108k Pajak panjang Harga ...","Rp 142.000.000"
"Nissan Livina","50 - 55K KM","Automatic","Banten","Broker","2021 Nissan Livina 1.5 VL MPV","Nissan Livina VL 1,5 Transmisi automatic Warna putih Odo 54000 km Nik 2021 Pajak hidup ...","Rp 184.000.000"
"","55 - 60K KM","Automatic","Banten","Broker","2022 Hyundai Creta 1.5 Prime SUV","Hyundai Creta Prime 1,5 Transmisi automatic Warna putih Odo 59000 km (Record) Nik 2022 ...","Rp 242.000.000"
"BMW X5","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2024 BMW X5 3.0 xDrive40i M Sport SUV - Km6.000 Nik White ...","BMW X5 M-SPORT 2024 WHITE ON SADDLE BROWN Km.6.000 Antik!! , Stnk Bulan 11 ( NIK.2024 ) - ...",""
"Daihatsu Terios","100 - 105K KM","Manual","Jawa Timur","Dealer","2013 Daihatsu Terios 1.5 TX SUV","Kondisi sangat istimewa Mobil bukan bekas tabrak atau banjir Nopol L Surabaya Pajak ...",""
"Mercedes-Benz GLC200","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz GLC200 2.0 AMG Line SUV - Km24.000 Nik ...","MERCEDES BENZ GLC200 AMG NIGHT EDITION 2022 WHITE ON BLACK Km.24.000 Antik!! , Stnk Bulan ...",""
"Nissan X-Trail","80 - 85K KM","Automatic","Banten","Broker","2017 Nissan X-Trail 2.5 SUV","Nissan Xtrail 2,5 Transmisi automatic Warna abu-abu metalik Odo 83000 km (record) Nik ...","Rp 173.000.000"
"Toyota Alphard","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Alphard 2.5 G MPV","Toyota Alphard 2.5 G AT 2021 TSS Putih Tangan Pertama KM 20rban, Service Record Toyota ...","Rp 738.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2023 Lexus LX 600 3.4 VIP SUV - LOW KM 1.423","*Lexus LX600* Year: 2023 Exterior: Graphite Black Glass Flake Interior: Black Leather ...","Rp 3.300.000.000"
"","25000 KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Raize 1.0 GR Sport TSS (2 Tone) SUV","Toyota Raize 1.0 AT Turbo GR Sport TSS 2022 Biru Tangan Pertama Low KM, Service Record ...","Rp 199.000.000"
"Honda HR-V","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 Honda HR-V 1.5 Special Edition SUV","Honda New HRV 1.5 SE 2024 Abu Abu Full Orisinil Tangan Pertama KM 15rbService record ...","Rp 325.000.000"
"BMW X1","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2019 BMW X1 1.5 sDrive18i xLine SUV","Unit Mobil di Showroom kami sudah lulus inspeksi & bersertifikat by OTOSPECTOR, GARANSI ...",""
"","45 - 50K KM","Automatic","Banten","Broker","2023 Hyundai Creta 1.5 Prime SUV","Hyundai Creta Prime 1,5 Transmisi automatic Warna abu abu Odo 46000 (record) Nik 2023 ...","Rp 249.000.000"
"","40 - 45K KM","Automatic","Jawa Timur","Dealer","2021 KIA Sonet 1.5 Dynamic SUV","Kia Sonet 2022 Premier - Kondisi Super Spesifikasi: • Tahun: 2021 Pemakaian 2022 • Tipe: ...",""
"Toyota Avanza","90 - 95K KM","Automatic","DKI Jakarta","Sales Agent","2020 Toyota Avanza 1.3 G MPV - Dp 22 Juta","Toyota Grand Avanza G 1.3 AT 2020 Hitam OTR Kredit : 160 Juta Harga Cash : DM / WA / Call ...","Rp 160.000.000"
"","","","","","","",""
"","","","","","","",""
"Toyota Kijang Innova","85 - 90K KM","Automatic","DKI Jakarta","Sales Agent","2020 Toyota Kijang Innova 2.0 G MPV - Dp 31 Juta","Toyota Grand Innova G Reborn 2.0 AT 2020 Abu-Abu . OTR Kredit : 239 Juta Harga Cash : 259 ...","Rp 239.000.000"
"Toyota Rush","20 - 25K KM","Automatic","DKI Jakarta","Sales Agent","2023 Toyota Rush 1.5 GR Sport SUV - Dp 15 Juta","Toyota New Rush GR Sport 1.5 AT 2023 Silver OTR Kredit : 230 Juta Harga Cash : DM / WA / ...","Rp 230.000.000"
"Toyota Vellfire","150 - 155K KM","Automatic","DKI Jakarta","Sales Agent","2010 Toyota Vellfire 2.4 Z MPV - Dp 16 Juta","Toyota Vellfire Z Premiun Sound 2.4 AT 2010 CBU Hitam . OTR Kredit : 160 Juta Harga Cash ...","Rp 160.000.000"
"Toyota Avanza","95 - 100K KM","Automatic","DKI Jakarta","Sales Agent","2021 Toyota Avanza 1.3 G MPV - Dp 13 Juta","Toyota Grand Avanza G 1.3 AT 2021 Putih OTR Kredit : 167,5 Juta Harga Cash : 175 Juta Tdp ...","Rp 167.500.000"
"Toyota Rush","40 - 45K KM","Automatic","Jawa Barat","Sales Agent","2019 Toyota Rush 1.5 TRD Sportivo SUV","Promo *Mobil Bekas Berkualitas Tanpa Cemas*.. FORSALE 📌OTR 204Juta (OTR CASH BERBEDA) ...","Rp 204.000.000"
"Daihatsu Terios","70 - 75K KM","Manual","DKI Jakarta","Sales Agent","2022 Daihatsu Terios 1.5 R SUV - Dp 13 Juta","Daihatsu New Terios R 1.5 Manual 2022 Hitam . OTR Kredit : 185 Juta Harga Cash : DM / WA ...","Rp 190.000.000"
"Daihatsu Xenia","95 - 100K KM","Manual","DKI Jakarta","Sales Agent","2020 Daihatsu Xenia 1.3 X MPV - Dp 22 Juta","Daihatsu Grand Xenia X 1.3 Manual 2020 Silver . OTR Kredit : 145 Juta Harga Cash : 159 ...","Rp 145.000.000"
"Toyota Vellfire","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Vellfire 2.5 G (Premium Color) MPV - Black on ...","𝘼𝙫𝙖𝙞𝙡𝙖𝙗𝙡𝙚• Toyota Vellfire 2.5 G ATPM TSS 2022 • Plat B Genap Black on Black (Super ...","Rp 699.000.000"
"BMW 320i","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2017 BMW 320i 2.0 Sport Sedan - Mulus Mesin Kering ga ada ...","𝘼𝙫𝙖𝙞𝙡𝙖𝙗𝙡𝙚• BMW 320i Sport Facelift LCI 2017 (F30) • Plat B Ganjil Perakitan & Faktur 2017 ...","Rp 289.000.000"
"","60 - 65K KM","Automatic","Banten","Sales Agent","2021 Toyota Raize 1.0 GR Sport (1 Tone) SUV - GARANSI 1TH ...","TOYOTA RAIZE GR SPORT 1.0 (2021/AT) KM 63rb | Pajak November | Plat Genap Bekasi | Harga ...",""
"Mazda CX-5","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2023 Mazda CX-5 2.5 Kuro Edition SUV - Mulus Terawat Sun R...","Mazda CX5 Kuro 2023 Putih * KM 48.XXX * Pajak 7-2026 * Kaleng 7-2028 * Plat B Genap * ...",""
"Honda HR-V","65 - 70K KM","Automatic","DKI Jakarta","Private","2016 Honda HR-V 1.5 E SUV - 1,5","HONDA HRV thn 2016 type E CVT, warna merah, full orisinil, mulus spt baru, kondisi mesin ...","Rp 175.000.000"
"BMW 320i","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2015 BMW 320i 2.0 Luxury Sedan - Cash Perfect Condition   ...","Dijual Bmw 320i Luxury Tahun 2015 Havana Brown On Beige Interior Kondisi Bagus Tangan 1 ...","Rp 218.000.000"
"Mitsubishi Xpander","25 - 30K KM","Automatic","DKI Jakarta","Private","2021 Mitsubishi Xpander 1.5 Sport MPV","LOW KM & PEMILIK SENDIRI Diutamakan Serius Buyer Nik 2021 pembelian di 2022 KM 28rb Plat ...",""
"Mitsubishi Pajero Sport","130 - 135K KM","Automatic","DKI Jakarta","Private","2016 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV","Kondisi baik Bebas kecelakaan bebas banjir Servis baik A.n sendiri","Rp 350.000.000"
"Suzuki SX4","149000 KM","Automatic","DKI Jakarta","Private","2013 Suzuki SX4 1.5 Cross Over Hatchback","Saya orang Korea. Saya sangat menyukai mobil sehingga saya bahkan pernah mengelola ...","Rp 80.000.000"
"Toyota Avanza","25 - 30K KM","Automatic","Jawa Timur","Dealer","2020 Toyota Avanza 1.5 Veloz MPV","TOYOTA AVANZA VELOZ 1.5 AT 2020 Deskripsi Unit: • Model: Avanza Veloz (Varian Tertinggi) ...",""
"Honda Brio","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Honda Brio 1.2 Satya E Hatchback - (Headunit Android ...","2023 Honda Brio 1.2 E Satya *OTR Kredit 150 juta* *Harga cash silakan chat* Detail: - ODO ...",""
"Mazda CX-5","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2020 Mazda CX-5 2.5 GT SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 275.000.000"
"Toyota Alphard","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Alphard 2.5 G MPV - Km12.000 Nik Black On Beig...","ALPHARD 2.5 G ATPM 2023 BLACK ON BEIGE Km.12.000 Antik!! , STNK Bulan 06 ( NIK.2023 ) - ...",""
"Mazda CX-5","65 - 70K KM","Automatic","DKI Jakarta","Dealer","2019 Mazda CX-5 2.5 Elite SUV - Skyactiv-G AT","270jta Khusus Credit 4&5 Thn Warranty Mesin & Transmisi 1Thn Terima Tukar Tambah MAZDA ...",""
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2023 BMW Z4 2.0 sDrive30i M Sport Convertible - Km7.000 Ni...","BMW Z4 CABRIOLET 3.0 S-DRIVE M-SPORT 2023 BLACK ON RED Km.7.000 Antik!! , Stnk Bulan 06 ( ...",""
"Mazda CX-3","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2023 Mazda CX-3 2.0 Pro SUV - SKYACTIV -G","For Sale : MAZDA CX-3 PRO Skyactiv-G -Engine 2.000cc ( 147 Hp ) Transmission Automatic ...","Rp 289.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2021 Chevrolet Corvette 6.2 Stingray Coupe - BRAND NEW Nik...","Descriptions Chevrolet Corvette PRICE Off the road 3.700.000.000 BRAND NEW Year : 2021 ...","Rp 3.700.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2023 Toyota Kijang Innova Zenix 2.0 G (Non Premium Color) ...","2023 Toyota KIJANG INNOVA ZENIX G HYBRID 2.0 (BENSIN) Cash & Kredit ✅Automatic ✅Bensin ...","Rp 360.000.000"
"","","","","","","",""
"","","","","","","",""
"","70 - 75K KM","Automatic","DKI Jakarta","Sales Agent","2022 Hyundai Creta 1.5 Prime SUV","2022 Hyundai CRETA PRIME 1.5 Cash & Kredit ✅Automatic ✅Bensin ✅PERORANGAN ✅Km 74.447 on ...","Rp 261.000.000"
"","70 - 75K KM","Automatic","Banten","Sales Agent","2023 Hyundai Creta 1.5 Prime SUV","2023 Hyundai CRETA PRIME 1.5 AT Cash & Kredit ✅Automatic ✅Bensin ✅perorangan ✅Km 73.738on ...","Rp 266.000.000"
"Toyota Voxy","50 - 55K KM","Automatic","Banten","Dealer","2023 Toyota Voxy 2.0 (Non Premium Color) MPV","TOYOTA VOXY 2.0 AT CVT TSS NIK 2023 KM 55 RECORD PAJAK 6-2027 DOKUMEN LENGKAP BEBAS ...","Rp 400.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2021 KIA Sonet 1.5 Premiere SUV","2021 KIA SONET PREMIERE 1.5 AT Cash & Kredit ✅Automatic ✅Bensin ✅Km 49.515 on going ...","Rp 209.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Sales Agent","2025 Honda WR-V 1.5 E SUV","Km 13 ribuan 2024 Honda WR- V E 1.5 cash & Kredit - Automatic -pajak hidup s.d Desember ...","Rp 230.000.000"
"Suzuki Ertiga","70 - 75K KM","Automatic","DKI Jakarta","Sales Agent","2020 Suzuki Ertiga 1.5 GX MPV","Promo *Mobil Bekas Berkualitas Tanpa Cemas*.. FORSALE 📌OTR 186Juta (OTR CASH BERBEDA) ...","Rp 186.000.000"
"Toyota Rush","100 - 105K KM","Automatic","DKI Jakarta","Dealer","2017 Toyota Rush 1.5 TRD Sportivo Ultimo SUV - (garansi un...","Toyota Rush 1.5 S TRD Sportivo Ultimo AT 2017 Putih Harga Cash : Rp 162.000.000.- Harga ...","Rp 156.000.000"
"","35 - 40K KM","Automatic","Jawa Timur","Dealer","2023 Toyota Raize 1.0 GR Sport (1 Tone) SUV","Raize 1.0 Turbo S GR Sport 2023 Matic, Hitam - Tangan Pertama - Transmisi Matic - Tipe ...","Rp 220.000.000"
"Toyota Voxy","80 - 85K KM","Automatic","Jawa Barat","Sales Agent","2020 Toyota Voxy 2.0 MPV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2020 Toyota Voxy 2.0 ...",""
"Toyota Kijang Innova","65 - 70K KM","Automatic","Jawa Barat","Sales Agent","2019 Toyota Kijang Innova 2.4 V MPV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2019 Toyota Kijang ...","Rp 382.000.000"
"Toyota Fortuner","55 - 60K KM","Automatic","Jawa Barat","Sales Agent","2021 Toyota Fortuner 2.4 VRZ GR SPORT 4X2 SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2021 toyota fortuner ...",""
"","55 - 60K KM","Automatic","Jawa Barat","Sales Agent","2023 Toyota Raize 1.2 G (1 Tone) SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2023 Toyota Raize G ...","Rp 195.000.000"
"","35 - 40K KM","Automatic","Jawa Barat","Sales Agent","2024 Toyota Raize 1.0 T G (1 Tone) SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2024 Toyota Raize ...","Rp 214.000.000"
"Honda Accord","80 - 85K KM","Automatic","Jawa Barat","Sales Agent","2022 Honda Accord 1.5 Sedan","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2022 Honda Accord TC ...",""
"Toyota Fortuner","55 - 60K KM","Automatic","Jawa Barat","Sales Agent","2021 Toyota Fortuner 2.4 VRZ 4X2 SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2021 Toyota Fortuner ...","Rp 475.000.000"
"","55 - 60K KM","Automatic","DKI Jakarta","Sales Agent","2022 Toyota Kijang Innova Zenix 2.0 V (Non Premium Color) ...","🚘 2022 Toyota Kijang Innova Zenix V 2.0 🚘 ✔️ Warna Hitam ✔️ Mesin 2.0 bensin yang ...",""
"","25 - 30K KM","Automatic","Jawa Barat","Sales Agent","2023 Hyundai Stargazer 1.5 Prime MPV","🚘 2023 Hyundai STARGAZER PRIME 1.5 🚘 ✔️ Warna Abu-abu elegan ✔️ Mesin 1.5 bensin irit & ...",""
"","15 - 20K KM","Automatic","DKI Jakarta","Sales Agent","2023 Honda WR-V 1.5 RS Honda Sensing SUV - RS Sensing","🚘 2023 Honda WR-V RS SENSING 1.5 🚘 ✔️ Warna Hitam elegan ✔️ Mesin 1.5 bensin irit & ...",""
"","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2013 Mercedes-Benz CLS350 3.5 AMG Coupe - Low Km Cash Sepe...","Dijual Mercede Benz CLS 350 Amg Tahun Nik 2013 Black On Brown 2+2 Km 29Rb Asli Seperti ...",""
"","35 - 40K KM","Automatic","DKI Jakarta","Sales Agent","2022 Hyundai Stargazer 1.5 Prime MPV","Promo *Mobil Bekas Berkualitas Tanpa Cemas*.. FORSALE 📌OTR 202Juta (OTR CASH BERBEDA) ...",""
"Honda HR-V","75 - 80K KM","Automatic","DKI Jakarta","Sales Agent","2021 Honda HR-V 1.5 E SUV - PROMO WARRANTY 1 1 TAHUN MESIN...","HR-V 1.5 E SUV AT Km 78rb On Going Pajak On Kunci cadangan lengkap Buku Service lengkap + ...","Rp 235.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Sales Agent","2025 Toyota Raize 1.0 GR Sport (1 Tone) SUV","Promo 🥳🥳 *Mobil Bekas Tanpa Cemas*.. FORSALE 📌OTR 224Juta (OTR CASH BERBEDA) CASH / ...",""
"Toyota Vellfire","15 - 20K KM","Automatic","DKI Jakarta","Sales Agent","2024 Toyota Vellfire 2.5 HEV VIP (Non Premium Color) MPV -...","BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN! Toyota Vellfire 2.5 VIP Executive Lounge ...","Rp 1.400.000.000"
"Mazda CX-5","0 - 5K KM","Automatic","DKI Jakarta","Private","2014 Mazda CX-5 2.0 Sport SUV - 2,0 Jabodetabek","DIJUAL Mazda CX-5 Sport 2014 - Tangan Pertama & Full Record! Kondisi Istimewa, Rawatan ...",""
"Honda City","30 - 35K KM","Automatic","Banten","Broker","2022 Honda City 1.5 RS Honda Sensing Hatchback - RS Sensin...","Honda City RS Sensing hatchback 1,5 Transmisi automatic Warna abu abu Odo 35000 km ...","Rp 209.000.000"
"","","","","","","",""
"","","","","","","",""
"Mercedes-Benz E300","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2018 Mercedes-Benz E300 2.0 AMG Line Sedan - Km23.000 Nik ...","MERCEDES BENZ E300 AMG 2018 WHITE ON BLACK Km.23.000 Antik!! , Stnk Bulan 10 ( NIK.2018 ) ...",""
"","50 - 55K KM","Automatic","Jawa Barat","Dealer","2021 Hyundai Palisade 2.2 Signature SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 499.000.000"
"Daihatsu Ayla","15 - 20K KM","Manual","Jawa Barat","Sales Agent","2021 Daihatsu Ayla 1.0 X Hatchback","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2021 Daihatsu Ayla X ...",""
"","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz GLE450 3.0 AMG Line 4MATIC SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 855.000.000"
"Mercedes-Benz CLA200","20 - 25K KM","Automatic","Banten","Dealer","2019 Mercedes-Benz CLA200 1.3 AMG Line Coupe","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 475.000.000"
"Mercedes-Benz C200","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz C200 1.5 EQ Boost Avantgarde Line Sedan...","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 405.000.000"
"Mazda CX-3","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 Mazda CX-3 2.0 Pro SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 287.000.000"
"Mazda CX-5","45 - 50K KM","Automatic","Jawa Barat","Dealer","2023 Mazda CX-5 2.5 Kuro Edition SUV","Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa KHUSUS yang ingin ...","Rp 390.000.000"
"","35 - 40K KM","Automatic","Banten","Private","2020 Lexus NX 300 2.0 F Sport SUV","Lexus NX300 F Sport 2020 ODO 30 rb KM Antik (Rare Condition) Tangan 1 dari Baru Service ...",""
"Lexus RX 270","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2012 Lexus RX 270 2.7 SUV - AT KM Low Tangan Pertama Istim...","Yang Anda dapatkan jika membeli di BJM Autocars : * Hanya menjual Mobil Bekas Berkualitas ...",""
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz C300 2.0 AMG Line Coupe - Km17.000 Nik ...","MERCEDES BENZ C300 COUPE AMG 2019 NEW PROFILE WHITE ON SADDLE TAN Km.17.000 Antik!! , ...",""
